Index,Factory name,country,bws_score,bwd_score,cfr_score,drr_score,Factory Type
175,LION BROTHERS (SHENZHEN) CO. LTD.,China,1.840089816,0.89520095,4.00210769,2.704106647,FINISHED GOODS - COMPONENTS
176,Long Chuan Simona Footwear Co. Ltd,China,0.526292992,0.349340103,0.0,2.724569794,FINISHED GOODS
177,"Long Fa Shoes Industrial Huizhou Co., Ltd.",China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS
178,"Long Yue Shoes Industrial Hui Zhou Co.,Ltd.",China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS - COMPONENTS
179,"Longchuan Somona Footwear Co.,Ltd Wuhua Branch",China,2.628398952,1.147770678,3.142209712,2.642420282,FINISHED GOODS - COMPONENTS
180,"Longhui Stella Footwear Co., Ltd",China,1.316316286,0.715555562,0.0,2.783117902,FINISHED GOODS - COMPONENTS
181,Longway Vietnam Company Limited,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
182,Lucky Star Vietnam Garment Company Limited,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
183,"LUCKYTEX SOC TRANG VIETNAM CO., LTD",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
184,"M.I.I.T. CO., LTD",Thailand,3.109756422,1.63008337,3.719516034,2.765760502,FINISHED GOODS
185,"MANUFACTURE OF ARTISTIC BELT & ACCESSORIES CO., LTD.",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
186,MAPLE COMPANY LIMITED,Vietnam,1.888423765,1.025047202,4.014458347,2.543822176,FINISHED GOODS
187,"Maxim Label and Packaging Vietnam Co., Ltd",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,MATERIALS
188,MAXIM SMART MANUFACTURING CO LTD,China,4.016276542,1.908488102,0.530115431,3.380822312,MATERIALS
189,Maxport Limited (Viet Nam) - Thai Binh Branch,Vietnam,1.431227899,0.765869105,4.035185706,3.315876613,FINISHED GOODS
190,MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
191,MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05,Vietnam,1.019449456,0.620524519,1.444160201,2.387824962,FINISHED GOODS
192,Maxturn Apparel Company Limited,Vietnam,2.805803426,1.407256582,4.010633967,3.189063374,FINISHED GOODS
193,"MDK Embroideries Garments Co., Ltd",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
194,"Men-Chuen Viet Nam Co., Ltd. (Nhon Trach VI)",Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS - COMPONENTS
195,Minone Enterprises Co Ltd,Thailand,5.0,5.0,0.0,3.281197173,FINISHED GOODS
196,NAM THIEN COMPANY LIMITED,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
197,Nan Yang Garment,Thailand,3.380208255,2.071848371,1.172639011,3.28882764,FINISHED GOODS
198,"Nan Yang Garment Co., Ltd.",Thailand,4.624583198,3.158175265,0.0,2.891528974,FINISHED GOODS
199,"NAN YANG GARMENT CO., LTD.",Thailand,3.109756422,1.63008337,3.719516034,2.765760502,FINISHED GOODS
200,"NAN YANG GARMENT CO.,LTD",Thailand,4.722261997,2.967937123,1.106095921,3.127964554,FINISHED GOODS
201,"Nanjing 3H Medical Products Co., Ltd.",China,1.125979021,0.535603149,0.0,3.325933603,FINISHED GOODS
